epoch,cumulative_reward,success_rate,mean_loss
0,-167.86947735406238,0.0,0.006771064
1,-102.10826854622499,0.0625,0.003010595
2,-93.1375720670566,0.0,0.0020317524
3,-116.45550111007873,0.0,0.0022508407
4,-90.802319969812,0.125,0.0017754575
5,-83.13515043762598,0.0,0.0012585545
6,-72.60556554307807,0.0625,0.00096267526
7,-62.04425750948162,0.0,0.0007312146
8,-75.59651728049609,0.0625,0.00060277263
9,-73.29630755862031,0.0,0.00055718975
10,-78.62339731936004,0.0625,0.00044614458
11,-75.86731532640978,0.0625,0.00047229245
12,-61.076584842298615,0.0,0.00037567317
13,-69.16779563839519,0.0,0.0003877746
14,-67.26908199572598,0.0625,0.00034211512
15,-56.83940687827209,0.0,0.00029435795
16,-59.62522071696277,0.125,0.00026920755
17,-64.26375565577868,0.0625,0.00024332956
18,-79.90428123801597,0.0625,0.0002417177
19,-68.15323376806968,0.0,0.00023297434
20,-65.04793474948386,0.0625,0.00019326345
21,-54.482537813068554,0.1875,0.00018585307
22,-61.89486367598877,0.0,0.00018510637
23,-57.48556669637005,0.0625,0.0001558775
24,-48.56681778932341,0.125,0.00017302085
25,-71.01532986698034,0.0,0.00016930021
26,-60.46978950112599,0.0625,0.00017792862
27,-52.4099704711919,0.0625,0.00016157838
28,-62.62657223105813,0.125,0.0001601997
29,-68.11172339617717,0.1875,0.00019883632
30,-65.29016017786847,0.0,0.00016427874
31,-65.31695821211908,0.1875,0.00015996427
32,-58.67333633144987,0.0,0.00020676051
33,-57.12344393128927,0.1875,0.00018937569
34,-65.09933829891426,0.1875,0.00018045706
35,-63.08267025540687,0.0625,0.00020101406
36,-65.08682589334704,0.125,0.00016542536
37,-62.42730678933741,0.0625,0.00018998288
38,-55.540026446313966,0.0625,0.00018138441
39,-65.6455320039381,0.0625,0.00019069854
40,-63.58159391334561,0.0625,0.0001950375
41,-59.41064671375516,0.125,0.00017103621
42,-69.86543380549939,0.125,0.0002003988
43,-56.1659594528683,0.0625,0.00020153678
44,-54.1603402832046,0.1875,0.00020082053
45,-58.38384634858673,0.0,0.00019438018
46,-74.45794196691408,0.0625,0.0001828362
47,-45.159515015787115,0.0625,0.0001961744
48,-77.63619114284762,0.0625,0.00019632054
49,-49.41517214035295,0.125,0.00020278078
50,-59.61007118921635,0.25,0.00018442454
51,-56.25660027980873,0.125,0.00019322296
52,-54.83474310480078,0.125,0.00019617514
53,-50.4586134474624,0.25,0.00019869892
54,-58.28740985615237,0.125,0.00019014583
55,-56.080192668643484,0.0,0.00019105079
56,-49.385402462664494,0.25,0.00019551942
57,-51.04233863023157,0.1875,0.00022747318
58,-56.60543511954529,0.3125,0.00021209769
59,-54.697134132494966,0.1875,0.00021897591
60,-67.74213346983372,0.0,0.00021059907
61,-52.44954181008457,0.125,0.0002078554
62,-43.502110908976185,0.25,0.00022815497
63,-57.930304478444164,0.1875,0.00021117329
64,-51.34097217781205,0.0625,0.000241899
65,-55.643572296543816,0.0625,0.0002377585
66,-50.1258982444351,0.125,0.00026255607
67,-58.85839750354221,0.125,0.00027699285
68,-44.98749906852071,0.1875,0.00026639394
69,-49.770813575167836,0.3125,0.0002821526
70,-52.568287620242394,0.125,0.00028143372
71,-46.12304935072502,0.125,0.0003202527
72,-48.48798634923624,0.1875,0.00027844784
73,-55.869672596831045,0.25,0.0003110533
74,-49.94403924091998,0.0,0.00027696148
75,-49.52724251395596,0.25,0.00029736658
76,-50.865527582733534,0.125,0.000297933
77,-44.61425832130112,0.25,0.0003134466
78,-53.40442957431714,0.125,0.00027275583
79,-41.741226199673555,0.25,0.00027887328
80,-46.877078789496146,0.3125,0.00030522194
81,-48.183806796087744,0.3125,0.00033230794
82,-33.80633803547937,0.375,0.00033295565
83,-47.48325418781303,0.5625,0.00031794322
84,-45.3147396034792,0.375,0.00028851544
85,-43.16377828576431,0.4375,0.0003334107
86,-47.75119537269087,0.25,0.0002999326
87,-48.716912804874255,0.375,0.00033582235
88,-42.84169480723048,0.25,0.00032755773
89,-38.41783186271076,0.3125,0.0003340479
90,-40.765157434029746,0.5625,0.00033592846
91,-42.001407000985814,0.25,0.0003216498
92,-39.09740130907865,0.3125,0.00031957813
93,-46.22131394948195,0.3125,0.0002993218
94,-39.11530045974846,0.5625,0.0002991589
95,-38.94646642404793,0.375,0.0002849878
96,-31.646273177958523,0.4375,0.00029493883
97,-43.48564149997576,0.125,0.00030170512
98,-42.169461580912746,0.4375,0.00029117655
99,-42.23641298680354,0.4375,0.00029138563
100,-51.09695834790917,0.1875,0.0002950752
101,-39.04138182307014,0.4375,0.00031738463
102,-29.84400615679541,0.625,0.00030977573
103,-39.49976877598978,0.5625,0.0002952179
104,-36.660989023302925,0.375,0.00030409044
105,-33.267720100434275,0.25,0.00028926186
106,-76.0698963949463,0.25,0.00031192074
107,-42.67402935631139,0.6875,0.00031439835
108,-38.87055559512861,0.3125,0.00030266528
109,-29.677810049415086,0.625,0.00029145344
110,-34.339834366731466,0.5625,0.0002604507
111,-33.240394839048854,0.4375,0.00028194752
112,-35.73288323852398,0.6875,0.0002557585
113,-33.99614015072034,0.4375,0.0003018842
114,-31.8502665553068,0.4375,0.00029320977
115,-44.12593125208684,0.5625,0.00030020322
116,-32.319730102639234,0.625,0.00027847398
117,-33.92434949024604,0.5,0.00025399847
118,-33.57211835926747,0.5,0.00029252202
119,-23.815614861909427,0.5625,0.00029983293
120,-26.66922092124772,0.4375,0.00028309057
121,-31.93437246937217,0.4375,0.00030669972
122,-32.270281191598066,0.4375,0.00028802548
