epoch,cumulative_reward,success_rate,mean_loss
0,-112.0,0.0,0.17939022
1,-112.0,0.0,0.20564261
2,-112.0,0.0,0.19356994
3,-112.0,0.0,0.2118165
4,-106.0,0.125,0.19636987
5,-112.0,0.0,0.20803761
6,-112.0,0.0,0.2089531
7,-105.0,0.125,0.20078611
8,-110.0,0.0625,0.19673523
9,-107.0,0.125,0.19446298
10,-110.0,0.0625,0.19785543
11,-104.0,0.1875,0.18663403
12,-102.0,0.1875,0.18905744
13,-103.0,0.1875,0.1831669
14,-108.0,0.125,0.18254726
15,-104.0,0.1875,0.17838149
16,-104.0,0.1875,0.1837537
17,-105.0,0.1875,0.18250437
18,-96.0,0.375,0.18286832
19,-88.0,0.5625,0.17465894
20,-96.0,0.375,0.17696118
21,-104.0,0.1875,0.18155488
22,-98.0,0.3125,0.17993942
23,-84.0,0.625,0.17207599
24,-78.0,0.8125,0.17333588
25,-86.0,0.625,0.16947466
26,-81.0,0.75,0.18066077
27,-83.0,0.75,0.17296164
28,-75.0,0.875,0.17438316
29,-78.0,0.9375,0.18277493
30,-76.0,0.8125,0.18043065
31,-77.0,0.9375,0.19507208
32,-71.0,0.9375,0.19110587
33,-73.0,0.875,0.18667194
34,-77.0,0.875,0.19806576
35,-71.0,1.0,0.18830338
36,-74.0,1.0,0.19483975
37,-69.0,1.0,0.19643453
38,-74.0,1.0,0.20595245
39,-73.0,0.9375,0.20806411
40,-70.0,1.0,0.20735607
41,-71.0,1.0,0.21131356
42,-72.0,1.0,0.21027716
43,-76.0,0.9375,0.21014789
44,-68.0,1.0,0.22212705
45,-71.0,1.0,0.2229394
46,-76.0,1.0,0.22250628
47,-71.0,1.0,0.22034979
48,-72.0,1.0,0.22888306
49,-71.0,1.0,0.22333555
50,-77.0,1.0,0.23904319
51,-71.0,1.0,0.23812072
52,-74.0,1.0,0.23476958
53,-70.0,1.0,0.24061754
54,-72.0,1.0,0.24593754
55,-71.0,1.0,0.25218844
56,-73.0,1.0,0.25359225
57,-71.0,1.0,0.24565086
58,-76.0,1.0,0.25290886
59,-73.0,1.0,0.26809096
60,-73.0,0.9375,0.25120288
61,-72.0,1.0,0.27642462
62,-68.0,1.0,0.26702315
63,-74.0,0.9375,0.26973194
64,-73.0,1.0,0.27364165
65,-74.0,1.0,0.2783199
66,-74.0,0.9375,0.28599635
67,-84.0,0.875,0.28420627
68,-73.0,1.0,0.2946953
69,-68.0,1.0,0.29435313
70,-72.0,1.0,0.2990571
71,-68.0,1.0,0.29993176
72,-74.0,0.9375,0.28496474
73,-73.0,1.0,0.30690375
74,-81.0,0.9375,0.32080358
75,-74.0,1.0,0.31131032
76,-76.0,1.0,0.31357172
77,-74.0,1.0,0.30504352
78,-73.0,0.9375,0.3017785
79,-72.0,0.9375,0.33449012
80,-77.0,1.0,0.31078336
81,-75.0,1.0,0.3333164
