epoch,cumulative_reward,success_rate,mean_loss
0,-240.0,0.0,0.104865566
1,-240.0,0.0,0.14027287
2,-240.0,0.0,0.16073626
3,-240.0,0.0,0.1693304
4,-240.0,0.0,0.16317095
5,-240.0,0.0,0.15705445
6,-240.0,0.0,0.15414432
7,-240.0,0.0,0.16391833
8,-240.0,0.0,0.15582988
9,-240.0,0.0,0.1480027
10,-240.0,0.0,0.14978957
11,-240.0,0.0,0.14685792
12,-240.0,0.0,0.14310901
13,-240.0,0.0,0.1400219
14,-240.0,0.0,0.14217082
15,-240.0,0.0,0.1403923
16,-240.0,0.0,0.13755777
17,-240.0,0.0,0.13920008
18,-240.0,0.0,0.13483286
19,-240.0,0.0,0.12998989
20,-240.0,0.0,0.12719746
21,-240.0,0.0,0.13014802
22,-240.0,0.0,0.12809122
23,-240.0,0.0,0.1320986
24,-240.0,0.0,0.1328825
25,-240.0,0.0,0.12447007
26,-240.0,0.0,0.13109481
27,-240.0,0.0,0.13236949
28,-240.0,0.0,0.12831593
29,-240.0,0.0,0.13232724
30,-240.0,0.0,0.13409841
31,-240.0,0.0,0.12556565
32,-240.0,0.0,0.12849708
33,-240.0,0.0,0.14248416
34,-240.0,0.0,0.12550731
35,-240.0,0.0,0.12648194
36,-240.0,0.0,0.13059722
37,-240.0,0.0,0.12865165
38,-240.0,0.0,0.12847054
39,-240.0,0.0,0.13046293
40,-240.0,0.0,0.12891147
41,-240.0,0.0,0.1321756
42,-240.0,0.0,0.12206485
43,-218.0,0.25,0.117977664
44,-228.0,0.125,0.11730452
45,-235.0,0.0625,0.12682597
46,-230.0,0.125,0.12732887
47,-228.0,0.125,0.13351028
48,-236.0,0.0625,0.13146396
49,-234.0,0.0625,0.1287015
50,-240.0,0.0,0.12669863
51,-229.0,0.125,0.12810095
52,-236.0,0.0625,0.13651678
53,-231.0,0.125,0.13197622
54,-234.0,0.0625,0.12679984
55,-220.0,0.25,0.1265907
56,-229.0,0.125,0.1347095
57,-212.0,0.3125,0.12157731
58,-230.0,0.125,0.12612958
59,-218.0,0.3125,0.12852561
60,-237.0,0.0625,0.13310064
61,-213.0,0.3125,0.13434297
62,-235.0,0.0625,0.13842413
63,-210.0,0.375,0.13852246
64,-229.0,0.125,0.15837055
65,-228.0,0.1875,0.13508625
66,-233.0,0.125,0.13664494
67,-231.0,0.125,0.13397618
68,-206.0,0.4375,0.11962561
69,-218.0,0.3125,0.12754317
70,-227.0,0.1875,0.13788821
71,-217.0,0.375,0.13303134
72,-211.0,0.375,0.13360974
73,-220.0,0.25,0.14255242
74,-209.0,0.375,0.15582547
75,-212.0,0.375,0.14176294
76,-229.0,0.125,0.16623013
77,-213.0,0.375,0.14717226
78,-204.0,0.4375,0.13636903
79,-198.0,0.5625,0.14995095
80,-189.0,0.6875,0.15088762
81,-191.0,0.625,0.15359297
82,-200.0,0.5,0.14173688
83,-205.0,0.5,0.15048046
84,-233.0,0.125,0.1525085
85,-196.0,0.5625,0.14207968
86,-178.0,0.8125,0.15720169
87,-184.0,0.75,0.14942887
88,-192.0,0.625,0.1424597
89,-201.0,0.5,0.14605017
90,-192.0,0.625,0.15244094
91,-210.0,0.4375,0.14982796
92,-194.0,0.625,0.17316371
93,-193.0,0.625,0.15263496
94,-193.0,0.5625,0.15799654
95,-202.0,0.5625,0.16299446
96,-222.0,0.3125,0.16731577
97,-194.0,0.625,0.15336493
98,-173.0,0.875,0.15929778
99,-195.0,0.625,0.14198299
100,-196.0,0.625,0.14944586
101,-191.0,0.625,0.14121301
102,-205.0,0.5625,0.13842955
103,-171.0,0.875,0.14019147
104,-199.0,0.625,0.15107343
105,-178.0,0.8125,0.14747249
106,-194.0,0.625,0.14715926
107,-188.0,0.6875,0.15141018
108,-165.0,0.9375,0.13790579
109,-171.0,0.9375,0.13521667
110,-192.0,0.6875,0.1514061
111,-190.0,0.6875,0.1369318
112,-186.0,0.75,0.15227875
113,-192.0,0.625,0.1611069
114,-206.0,0.4375,0.1703594
115,-178.0,0.8125,0.14914171
116,-182.0,0.8125,0.13344154
117,-168.0,0.9375,0.1573284
118,-190.0,0.6875,0.15409218
119,-180.0,0.8125,0.14992037
120,-202.0,0.5,0.14527631
121,-189.0,0.625,0.15445304
122,-181.0,0.75,0.16433764
123,-192.0,0.625,0.15320964
124,-197.0,0.5625,0.16750464
125,-190.0,0.6875,0.15750033
126,-178.0,0.9375,0.15572822
127,-212.0,0.4375,0.14825554
128,-193.0,0.6875,0.14884767
129,-193.0,0.625,0.17108014
130,-190.0,0.6875,0.14999573
131,-176.0,0.875,0.14570929
132,-211.0,0.4375,0.15512355
133,-165.0,1.0,0.1648362
134,-196.0,0.625,0.14756858
135,-176.0,0.8125,0.14233425
136,-177.0,0.875,0.1594506
137,-188.0,0.6875,0.17031471
138,-187.0,0.6875,0.1621566
139,-198.0,0.625,0.16466007
140,-177.0,0.875,0.1822178
141,-188.0,0.6875,0.16358003
142,-180.0,0.8125,0.17244929
143,-202.0,0.5,0.1577044
144,-193.0,0.6875,0.17687884
145,-186.0,0.75,0.17879927
146,-173.0,0.875,0.15186858
147,-175.0,0.875,0.17689398
148,-196.0,0.625,0.16936459
149,-187.0,0.75,0.17387083
150,-183.0,0.875,0.16076455
151,-182.0,0.8125,0.17743835
152,-200.0,0.5625,0.147898
153,-190.0,0.625,0.16880922
154,-189.0,0.625,0.1723179
155,-175.0,0.875,0.1823691
156,-185.0,0.6875,0.19140168
157,-184.0,0.8125,0.16188037
158,-184.0,0.8125,0.15974174
159,-183.0,0.8125,0.15203631
160,-181.0,0.8125,0.16545996
161,-178.0,0.875,0.14310102
162,-170.0,0.875,0.17428859
163,-182.0,0.8125,0.18968058
164,-182.0,0.8125,0.16778877
165,-180.0,0.8125,0.17240629
166,-177.0,0.9375,0.17060342
167,-179.0,0.8125,0.17347686
168,-195.0,0.5625,0.15806195
169,-181.0,0.8125,0.17377305
170,-187.0,0.6875,0.17342989
171,-184.0,0.8125,0.16783266
172,-165.0,1.0,0.18171407
173,-181.0,0.875,0.16824181
174,-211.0,0.375,0.17251512
175,-181.0,0.8125,0.17406741
176,-181.0,0.8125,0.18463875
177,-180.0,0.8125,0.1914535
178,-170.0,0.9375,0.18158165
179,-175.0,0.8125,0.18617149
180,-189.0,0.6875,0.16184726
181,-183.0,0.8125,0.18020876
182,-172.0,0.875,0.15651445
183,-175.0,0.8125,0.19259048
184,-185.0,0.75,0.18317577
185,-180.0,0.8125,0.20166922
186,-175.0,0.875,0.15549704
187,-184.0,0.8125,0.16642626
188,-179.0,0.875,0.17788692
189,-180.0,0.875,0.15513836
190,-182.0,0.8125,0.17111926
191,-176.0,0.875,0.17772813
192,-172.0,0.9375,0.1706371
193,-173.0,0.9375,0.18094674
194,-182.0,0.75,0.1759871
195,-188.0,0.75,0.174895
196,-193.0,0.625,0.17071119
197,-183.0,0.75,0.16548598
198,-173.0,0.875,0.17424542
199,-169.0,0.9375,0.1604306
200,-189.0,0.625,0.19862168
201,-201.0,0.5625,0.18735777
202,-177.0,0.875,0.19184577
203,-175.0,0.875,0.17863841
204,-205.0,0.5,0.16371362
205,-176.0,1.0,0.17808561
206,-181.0,0.8125,0.19995031
207,-187.0,0.875,0.17878273
208,-187.0,0.8125,0.17941722
209,-192.0,0.6875,0.18356246
210,-187.0,0.75,0.18891032
211,-180.0,0.8125,0.17819901
212,-170.0,1.0,0.18770756
213,-172.0,0.9375,0.17655084
214,-170.0,0.9375,0.17082977
215,-182.0,0.75,0.18145016
216,-193.0,0.625,0.18056718
217,-179.0,0.8125,0.1839069
218,-179.0,0.8125,0.1764906
219,-168.0,0.9375,0.17603973
220,-179.0,0.8125,0.1705372
221,-178.0,0.875,0.17375787
222,-186.0,0.6875,0.17223468
223,-164.0,1.0,0.17985146
