iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
99,1.1501629,1.1664788,0.136
199,1.0744085,1.0754663,0.218
299,1.0523636,1.0542178,0.152
399,1.0455011,1.0479246,0.184
499,1.0343289,1.0407296,0.214
599,1.0389178,1.0404103,0.206
699,1.0354459,1.0390851,0.212
799,1.036248,1.0384631,0.194
899,1.0369275,1.0386332,0.176
999,1.0392116,1.0377076,0.156
1099,1.0371112,1.0373881,0.214
1199,1.0335189,1.03702,0.222
1299,1.0420271,1.0380683,0.152
1399,1.0371873,1.0369282,0.2
1499,1.0362623,1.0388724,0.202
1599,1.0372021,1.0367433,0.182
1699,1.034764,1.0351491,0.2
1799,1.03495,1.0362864,0.184
1899,1.0369021,1.0356513,0.2
1999,1.0347755,1.035472,0.256
2099,1.0377085,1.036176,0.188
2199,1.0357803,1.0357354,0.188
2299,1.0369228,1.02812,0.224
2399,1.0355085,1.0353593,0.196
2499,1.0360526,1.035515,0.21
2599,1.0353811,1.0354087,0.198
2699,1.0353968,1.0354725,0.212
2799,1.034599,1.0361004,0.2
2899,1.0355545,1.0356722,0.208
2999,1.0367181,1.0353912,0.188
3099,1.0352194,1.0355669,0.186
3199,1.0356994,1.0354732,0.226
3299,1.0352507,1.0354153,0.194
3399,1.0354002,1.0332465,0.2
3499,1.0350968,1.035421,0.186
3599,1.0352855,1.0351669,0.2
3699,1.0351667,1.035386,0.198
3799,1.035008,1.0355475,0.2
3899,1.0355345,1.0349219,0.194
3999,1.0356009,1.0354072,0.194
4099,1.0350592,1.0353271,0.212
4199,1.0347006,1.0350727,0.188
4299,1.0353901,1.0352366,0.206
4399,1.0359615,1.0349436,0.214
4499,1.0472939,1.0346382,0.184
4599,1.0356033,1.0351585,0.198
4699,1.0348393,1.0352074,0.208
4799,1.0355499,1.0351274,0.196
4899,1.0347164,1.0354223,0.194
4999,1.0359161,1.0354878,0.172
5099,1.035168,1.0350938,0.212
5199,1.0353299,1.0350626,0.212
5299,1.035236,1.035201,0.216
5399,1.0355215,1.0353023,0.19
5499,1.0356896,1.035129,0.2
5599,1.0352439,1.0351553,0.208
5699,1.0351174,1.0352334,0.214
5799,1.0353098,1.0354013,0.176
5899,1.0349448,1.0349729,0.208
5999,1.0355937,1.0353478,0.196
6099,1.0351076,1.0351746,0.212
6199,1.035105,1.0352477,0.2
6299,1.0351868,1.0350778,0.208
6399,1.0352854,1.0352105,0.198
6499,1.0346739,1.0350204,0.2
6599,1.0349712,1.0353912,0.21
6699,1.0359195,1.0351045,0.196
6799,1.0349957,1.0353065,0.2
6899,1.0350646,1.0350722,0.2
6999,1.0351477,1.0351422,0.202
7099,1.0352066,1.035239,0.17
7199,1.03498,1.0351073,0.216
7299,1.035112,1.0351359,0.206
7399,1.0347849,1.0349749,0.222
7499,1.0348382,1.0351365,0.224
7599,1.0360651,1.0352209,0.192
7699,1.0349874,1.0352147,0.198
7799,1.0352812,1.0351127,0.212
7899,1.0351115,1.0352362,0.188
7999,1.0350561,1.0350952,0.186
8099,1.0351673,1.0350658,0.21
8199,1.034963,1.0350502,0.19
8299,1.0354228,1.033912,0.2
8399,1.0349373,1.0352373,0.208
8499,1.0351349,1.0349237,0.196
8599,1.0349114,1.0353534,0.2
8699,1.0359973,1.0357258,0.192
8799,1.0352361,1.0351443,0.2
8899,1.0353111,1.0352008,0.208
8999,1.0345848,1.0348809,0.2
9099,1.0357645,1.035206,0.2
9199,1.0350107,1.0351001,0.2
9299,1.0324708,1.0337013,0.2
9399,1.0334437,1.0347903,0.2
9499,1.0322088,1.0347016,0.2
9599,1.0341761,1.0352424,0.186
9699,1.0351131,1.0350901,0.214
9799,1.0351573,1.0351073,0.208
9899,1.0357711,1.034497,0.192
9999,1.0349725,1.0350839,0.202
10099,1.0353426,1.0351449,0.19
10199,1.0349389,1.0350423,0.208
10299,1.0350803,1.0351223,0.21
10399,1.0352628,1.0350661,0.202
10499,1.0380709,1.0350542,0.188
10599,1.0362492,1.0352263,0.212
10699,1.0321741,1.0379825,0.278
10799,1.0228488,1.039101,0.198
10899,1.0358484,1.0355216,0.194
10999,1.0342677,1.0346904,0.21
11099,1.0318457,1.0358732,0.204
11199,1.0414184,1.0484624,0.264
11299,1.0344008,1.0350338,0.19
11399,1.033804,1.0313618,0.252
11499,1.0357739,1.0324364,0.186
11599,1.0370454,1.0331995,0.178
11699,1.0208601,1.0350947,0.234
11799,1.0039371,1.0505604,0.218
11899,1.0311189,1.0194751,0.196
11999,1.0333399,1.0157131,0.228
12099,1.0702491,1.0201268,0.192
12199,1.0286613,1.003605,0.268
12299,1.0363744,1.0349835,0.206
12399,1.0298008,1.0337279,0.24
12499,1.019778,1.0363051,0.204
12599,1.0127847,1.0385998,0.192
12699,1.0329963,1.024753,0.21
12799,1.0124623,1.0483612,0.186
12899,1.0255518,1.0363816,0.202
12999,1.0232162,1.0370287,0.204
13099,1.0244542,1.0013292,0.23
13199,1.0145878,1.0254961,0.2
13299,1.0287752,1.0088738,0.292
13399,1.0289959,1.038457,0.202
13499,1.0109661,1.0303844,0.246
13599,1.0408306,1.0023142,0.278
13699,1.0168146,1.0077354,0.262
13799,1.0264395,1.0303979,0.216
13899,1.0151876,1.0259368,0.232
13999,1.0351622,1.0334771,0.222
14099,1.0279471,1.0304356,0.232
14199,1.005286,1.0324441,0.2
14299,1.0035428,1.0385278,0.194
