iter,train_loss,test_loss,acc
99,0.7122188,0.7072684,0.35
199,0.6774567,0.67560285,0.38
299,0.6708588,0.6717961,0.33
399,0.6716767,0.6708296,0.33
499,0.6706374,0.6710807,0.33333334
599,0.67108744,0.67090225,0.30666667
699,0.67099524,0.67026854,0.33333334
799,0.66935396,0.6699133,0.34666666
899,0.66879684,0.66978085,0.30333334
999,0.6695263,0.6697643,0.36333334
1099,0.670063,0.66975397,0.33333334
1199,0.66999197,0.66961503,0.29666665
1299,0.6694474,0.6690956,0.42333335
1399,0.66933113,0.66940534,0.32666665
1499,0.66974026,0.66955614,0.33333334
1599,0.6690647,0.66924804,0.33333334
1699,0.6694093,0.66927403,0.35666665
1799,0.66917896,0.669315,0.3
1899,0.6692502,0.66945577,0.30666667
1999,0.6697572,0.669458,0.3
2099,0.669352,0.66931134,0.29
2199,0.66921,0.6691633,0.36
2299,0.66942245,0.6692646,0.33333334
2399,0.669071,0.669257,0.33333334
2499,0.6694646,0.6692472,0.33333334
2599,0.66910076,0.6691924,0.32
2699,0.6692036,0.6692008,0.39
2799,0.6690057,0.66928583,0.31333333
2899,0.66907424,0.6692221,0.32333332
2999,0.6693186,0.66931844,0.27666667
3099,0.6688731,0.66902566,0.38
3199,0.6694557,0.66910636,0.34666666
3299,0.66921026,0.6693058,0.29666665
3399,0.6686689,0.66921216,0.30666667
3499,0.6688096,0.6691938,0.33
3599,0.6689563,0.6691555,0.31
3699,0.6689794,0.6692827,0.3
3799,0.66938305,0.6692066,0.34
3899,0.6690727,0.6692332,0.30333334
3999,0.66919583,0.66918504,0.30333334
4099,0.6690566,0.66906846,0.36
4199,0.668955,0.6691898,0.31
4299,0.668897,0.66910607,0.33333334
4399,0.6690676,0.6690329,0.35333332
4499,0.6690459,0.6690874,0.39
4599,0.669281,0.6690973,0.33666667
4699,0.66898376,0.6692314,0.3
4799,0.66922694,0.6690659,0.36666667
4899,0.66897994,0.66918653,0.29666665
4999,0.6689585,0.6690939,0.34
5099,0.66906327,0.66907614,0.36333334
5199,0.66904974,0.66912097,0.32333332
5299,0.6691487,0.66919893,0.30333334
5399,0.668962,0.66911745,0.33333334
5499,0.66879153,0.66912335,0.33333334
5599,0.6694109,0.66915375,0.30666667
5699,0.6689665,0.6691222,0.32
5799,0.66883725,0.66908956,0.34666666
5899,0.66902715,0.6690344,0.34666666
5999,0.6690469,0.6690622,0.31
6099,0.6692526,0.6690739,0.33333334
6199,0.6690493,0.6690279,0.32666665
6299,0.6689983,0.6691758,0.34
6399,0.66892195,0.669141,0.31
6499,0.66913193,0.6690752,0.31
6599,0.668657,0.6691456,0.30333334
6699,0.6692686,0.6690943,0.34
6799,0.66915303,0.6691081,0.32
6899,0.6692529,0.66902405,0.37
6999,0.6693185,0.6690069,0.38
7099,0.66853714,0.6690692,0.33333334
7199,0.66914207,0.66917056,0.33333334
7299,0.668289,0.6692376,0.33333334
7399,0.6692746,0.6690927,0.33333334
7499,0.6690686,0.66908455,0.33333334
7599,0.66912967,0.6690467,0.33333334
7699,0.66906995,0.66909,0.33333334
7799,0.6691249,0.66904247,0.33333334
7899,0.66911596,0.6690522,0.33333334
7999,0.6691738,0.66908246,0.33
8099,0.6690345,0.66899747,0.38
8199,0.6690512,0.6691256,0.33333334
8299,0.66907454,0.66908664,0.33333334
8399,0.66917783,0.6691484,0.33333334
8499,0.6689024,0.66909677,0.38333333
