iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.212,0.204,0.192,0.192
20,0.2,0.18400002,0.2,0.2
30,0.192,0.168,0.18400002,0.2
40,0.2,0.22399999,0.18400002,0.176
50,0.23200001,0.2,0.208,0.23200001
60,0.216,0.20799999,0.18400002,0.192
70,0.21599999,0.22400002,0.22400002,0.256
80,0.2,0.2,0.176,0.192
90,0.20799999,0.216,0.22400002,0.256
100,0.2,0.16,0.136,0.2
110,0.192,0.20799999,0.176,0.2
120,0.15200001,0.216,0.15200001,0.20799999
130,0.216,0.216,0.208,0.22400002
140,0.208,0.18400002,0.176,0.216
150,0.2,0.208,0.192,0.216
160,0.192,0.20799999,0.208,0.22400002
170,0.18400002,0.20799999,0.23200001,0.20799999
180,0.20799999,0.22400002,0.18400002,0.216
190,0.192,0.23200001,0.192,0.22399999
200,0.24800001,0.28000003,0.16800001,0.28
210,0.2,0.23200001,0.184,0.27199998
220,0.22400002,0.24,0.22399999,0.312
230,0.208,0.296,0.168,0.288
240,0.18400002,0.304,0.22400002,0.304
250,0.19199999,0.35200006,0.18400002,0.25599998
260,0.16800001,0.25599998,0.192,0.33600003
270,0.176,0.32800004,0.192,0.312
280,0.168,0.36800003,0.216,0.32800004
290,0.248,0.384,0.176,0.352
300,0.22399999,0.32,0.14400001,0.304
310,0.23200001,0.296,0.23200001,0.32
320,0.23200001,0.32,0.15200001,0.32
330,0.24,0.352,0.23200001,0.352
340,0.21600002,0.36,0.216,0.344
350,0.20000002,0.384,0.2,0.352
360,0.18400002,0.33600003,0.22399999,0.28
370,0.248,0.384,0.208,0.352
380,0.208,0.33600003,0.184,0.344
390,0.23200001,0.4,0.128,0.40800002
400,0.184,0.32800004,0.208,0.40800002
410,0.144,0.384,0.176,0.416
420,0.24,0.40800002,0.192,0.384
430,0.168,0.352,0.2,0.36
440,0.24,0.472,0.192,0.408
450,0.21599999,0.352,0.176,0.376
460,0.168,0.376,0.16800001,0.384
470,0.18400002,0.4,0.22399999,0.45599997
480,0.23200001,0.4,0.184,0.384
490,0.23200001,0.408,0.23200001,0.416
500,0.20799999,0.43200004,0.288,0.408
510,0.2,0.368,0.2,0.39200002
520,0.272,0.376,0.22400002,0.41599998
530,0.24,0.42400002,0.248,0.344
540,0.20799999,0.36,0.18400002,0.39200002
550,0.24,0.4,0.23200001,0.376
560,0.208,0.384,0.2,0.40800002
570,0.20799999,0.40800002,0.22400002,0.416
580,0.216,0.33600003,0.24,0.41599998
590,0.22400002,0.42400002,0.28800002,0.47200003
600,0.2,0.384,0.12,0.39200002
610,0.18400002,0.42400002,0.248,0.42400002
620,0.192,0.45600003,0.18400002,0.44
630,0.2,0.49600005,0.216,0.464
640,0.24800001,0.44799998,0.16,0.45599997
650,0.2,0.48800004,0.152,0.46400002
660,0.256,0.48,0.22400002,0.44
670,0.22400002,0.384,0.216,0.4
680,0.192,0.42400002,0.176,0.432
690,0.16800001,0.41599998,0.2,0.43199998
700,0.2,0.384,0.192,0.37600002
710,0.16800001,0.44800004,0.22400002,0.376
720,0.128,0.42400002,0.15200001,0.44800004
730,0.20799999,0.48,0.22400002,0.432
740,0.16800001,0.41599998,0.24800001,0.44
750,0.23200001,0.4,0.256,0.472
760,0.208,0.44,0.24,0.4
770,0.20799999,0.504,0.184,0.432
780,0.2,0.42400002,0.22400002,0.44
790,0.2,0.36800003,0.20799999,0.432
800,0.18400002,0.472,0.16800001,0.47199997
810,0.168,0.504,0.16,0.432
820,0.23200001,0.45599997,0.24800001,0.408
830,0.184,0.44,0.2,0.488
840,0.2,0.46400002,0.18400002,0.44
850,0.15200001,0.42400002,0.216,0.42400002
860,0.2,0.42400002,0.20799999,0.41599998
870,0.16800001,0.536,0.14400001,0.488
880,0.22400002,0.48,0.192,0.432
890,0.192,0.408,0.256,0.42400002
900,0.256,0.512,0.2,0.45599997
910,0.15200001,0.42400002,0.23200001,0.504
920,0.28,0.49600002,0.23200001,0.48800004
930,0.216,0.42400002,0.192,0.45599997
940,0.20799999,0.45599997,0.18400002,0.48000005
950,0.192,0.44799998,0.20799999,0.44
960,0.20799999,0.504,0.192,0.45599997
970,0.216,0.39199996,0.15200001,0.47199997
980,0.216,0.44800004,0.23200001,0.51199996
990,0.208,0.47200003,0.16800001,0.44
1000,0.256,0.472,0.192,0.48
1010,0.22400002,0.46400002,0.2,0.496
1020,0.152,0.46400002,0.21600002,0.504
1030,0.28,0.544,0.22400002,0.48800004
1040,0.216,0.44800004,0.23200001,0.432
1050,0.15200001,0.432,0.21599999,0.48800004
1060,0.232,0.42400002,0.23200001,0.552
1070,0.184,0.496,0.20799999,0.48799995
1080,0.18400002,0.504,0.18400002,0.48800004
1090,0.168,0.44800004,0.192,0.45599997
1100,0.18400002,0.48,0.20000002,0.49600002
1110,0.176,0.48,0.256,0.576
1120,0.17600003,0.44799998,0.23200001,0.50399995
1130,0.14400001,0.488,0.176,0.504
1140,0.216,0.512,0.26400003,0.56
1150,0.192,0.488,0.208,0.46400002
1160,0.18400002,0.488,0.24,0.57600003
1170,0.176,0.496,0.23200001,0.49600002
1180,0.18400002,0.496,0.136,0.47199997
1190,0.192,0.49600005,0.16,0.488
1200,0.20799999,0.52,0.184,0.528
1210,0.2,0.504,0.20799999,0.544
1220,0.24,0.48,0.184,0.52
1230,0.16,0.52,0.2,0.536
1240,0.22400002,0.44799998,0.16,0.552
1250,0.2,0.56,0.2,0.51199996
1260,0.15200001,0.45600003,0.208,0.56
1270,0.25599998,0.52,0.176,0.49600002
1280,0.16,0.568,0.168,0.504
1290,0.176,0.52,0.22400002,0.536
1300,0.168,0.544,0.2,0.44800004
1310,0.256,0.48,0.24,0.488
1320,0.20799999,0.512,0.192,0.624
1330,0.23200001,0.48,0.184,0.51199996
1340,0.15200001,0.504,0.2,0.56
1350,0.16800001,0.568,0.192,0.536
1360,0.24,0.56,0.2,0.55200005
1370,0.192,0.552,0.2,0.48
1380,0.2,0.52,0.21600002,0.528
1390,0.16,0.616,0.192,0.512
1400,0.24,0.504,0.176,0.536
1410,0.192,0.49600002,0.20799999,0.536
1420,0.176,0.6,0.18400002,0.552
1430,0.18400002,0.52,0.216,0.55200005
1440,0.18400002,0.48800004,0.21600002,0.576
1450,0.20799999,0.504,0.168,0.52800006
1460,0.2,0.488,0.2,0.52800006
1470,0.15200001,0.51199996,0.176,0.496
1480,0.24800001,0.6,0.208,0.544
1490,0.192,0.536,0.24,0.59199995
1500,0.20799999,0.52,0.2,0.48
1510,0.168,0.46400002,0.192,0.40800002
1520,0.15200001,0.47199997,0.20799999,0.47199997
1530,0.22400002,0.504,0.18400002,0.544
1540,0.23200001,0.616,0.24,0.536
1550,0.176,0.568,0.18400002,0.49600002
1560,0.16,0.61600006,0.216,0.6
1570,0.208,0.61600006,0.176,0.57600003
1580,0.2,0.552,0.24,0.56000006
1590,0.21600002,0.59200007,0.176,0.512
