iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.2,0.2,0.2,0.192
20,0.192,0.20799999,0.21600002,0.2
30,0.192,0.216,0.2,0.216
40,0.192,0.2,0.192,0.2
50,0.15200001,0.22400002,0.216,0.22400002
60,0.176,0.216,0.2,0.22400002
70,0.18400002,0.216,0.208,0.24
80,0.18400002,0.248,0.23200001,0.248
90,0.192,0.22399999,0.208,0.272
100,0.22400002,0.22400002,0.22400002,0.28
110,0.20799999,0.28800002,0.23200001,0.256
120,0.22399999,0.296,0.176,0.272
130,0.22400002,0.256,0.22399999,0.28800002
140,0.20799999,0.26400003,0.22400002,0.29599997
150,0.22399999,0.264,0.216,0.288
160,0.192,0.29600003,0.23200001,0.26400003
170,0.216,0.28800002,0.16800001,0.36
180,0.136,0.30400002,0.28,0.29600003
190,0.15200001,0.32800004,0.22399999,0.312
200,0.176,0.32,0.272,0.32
210,0.144,0.28000003,0.216,0.30400002
220,0.216,0.30400002,0.256,0.30400002
230,0.168,0.36,0.176,0.352
240,0.232,0.36800003,0.20799999,0.336
250,0.22399999,0.32800004,0.176,0.36800003
260,0.20799999,0.352,0.16,0.376
270,0.192,0.33600003,0.184,0.368
280,0.216,0.42400002,0.15200001,0.416
290,0.18400002,0.36000004,0.2,0.41599998
300,0.216,0.352,0.18400002,0.36800003
310,0.24,0.384,0.20799999,0.39200002
320,0.24,0.376,0.22400002,0.384
330,0.2,0.41599998,0.176,0.432
340,0.20799999,0.4,0.2,0.4
350,0.192,0.44,0.12,0.42400002
360,0.168,0.41599998,0.18400002,0.39200002
370,0.2,0.44800004,0.18400002,0.41599998
380,0.192,0.368,0.24800001,0.4
390,0.216,0.352,0.168,0.432
400,0.2,0.4,0.16,0.45599997
410,0.18400002,0.46400002,0.256,0.42400002
420,0.16,0.43200004,0.216,0.41599998
430,0.20000002,0.344,0.248,0.488
440,0.24,0.42400002,0.184,0.4
450,0.21600002,0.41599998,0.2,0.40800002
460,0.192,0.4,0.2,0.46400002
470,0.18400002,0.46400002,0.192,0.44799998
480,0.24800001,0.40800002,0.23200001,0.42400002
490,0.26400003,0.47199997,0.22399999,0.42400002
500,0.21600002,0.44,0.192,0.48800004
510,0.136,0.416,0.16800001,0.45599997
520,0.192,0.432,0.192,0.4
530,0.22400002,0.512,0.168,0.39200002
540,0.23200001,0.44799998,0.272,0.40800002
550,0.208,0.48,0.128,0.41599998
560,0.136,0.56,0.18400002,0.432
570,0.208,0.44799998,0.216,0.432
580,0.24800001,0.408,0.176,0.45599997
590,0.18400002,0.488,0.272,0.488
600,0.216,0.44,0.16,0.48
610,0.216,0.48,0.192,0.43199998
620,0.144,0.45600003,0.168,0.36800003
630,0.22399999,0.496,0.20799999,0.46400002
640,0.14400001,0.504,0.20799999,0.48
650,0.192,0.496,0.18400002,0.488
660,0.23200001,0.48,0.20799999,0.51199996
670,0.168,0.432,0.22400002,0.42400002
680,0.18400002,0.45599997,0.22400002,0.42400002
690,0.17600003,0.46400002,0.22399999,0.464
700,0.208,0.44799998,0.176,0.45599997
710,0.18400002,0.45599997,0.2,0.44800004
720,0.16800001,0.46400002,0.14400001,0.528
730,0.2,0.48800004,0.24,0.42400002
740,0.192,0.45599997,0.168,0.48
750,0.168,0.416,0.192,0.45599997
760,0.176,0.47199997,0.20799999,0.46400002
770,0.216,0.45599997,0.192,0.544
780,0.20799999,0.51199996,0.192,0.488
790,0.16,0.496,0.18400002,0.48
800,0.2,0.52800006,0.24800001,0.46400002
810,0.22399999,0.44799998,0.248,0.504
820,0.136,0.512,0.192,0.48
830,0.23200001,0.44,0.20799999,0.46400002
840,0.22399999,0.432,0.2,0.472
850,0.22400002,0.512,0.176,0.47199997
860,0.18400002,0.48,0.176,0.432
870,0.248,0.56,0.14400001,0.52
880,0.192,0.488,0.208,0.488
890,0.176,0.46400002,0.208,0.45599997
900,0.16,0.56,0.2,0.46400002
910,0.192,0.48800004,0.168,0.512
920,0.192,0.528,0.14400001,0.52800006
930,0.24800001,0.432,0.288,0.46400002
940,0.176,0.44799998,0.192,0.512
950,0.192,0.47200003,0.15200001,0.44800004
960,0.216,0.49600002,0.24800001,0.45599997
970,0.192,0.44,0.192,0.512
980,0.192,0.46400002,0.176,0.536
990,0.18400002,0.48800004,0.18400002,0.432
1000,0.23200001,0.52,0.22399999,0.496
1010,0.192,0.46400002,0.256,0.544
1020,0.208,0.47199997,0.192,0.52
1030,0.176,0.51199996,0.176,0.47199997
1040,0.18400002,0.46400002,0.192,0.48800004
1050,0.248,0.536,0.176,0.52800006
1060,0.22399999,0.47199997,0.18400002,0.52799994
1070,0.2,0.472,0.20799999,0.52
1080,0.19199999,0.51199996,0.20799999,0.512
1090,0.264,0.504,0.24,0.47199997
1100,0.16,0.49600002,0.192,0.52800006
1110,0.22400002,0.44799998,0.21600002,0.536
1120,0.16800001,0.552,0.23200001,0.536
1130,0.14400001,0.52800006,0.2,0.52
1140,0.176,0.47199997,0.168,0.54399997
1150,0.2,0.52800006,0.22400002,0.552
1160,0.192,0.52800006,0.16,0.56
1170,0.248,0.52799994,0.216,0.528
1180,0.216,0.536,0.18400002,0.52800006
1190,0.2,0.496,0.22400002,0.45599997
1200,0.22400002,0.46400002,0.24,0.55200005
1210,0.18400002,0.49600002,0.288,0.488
1220,0.216,0.536,0.18400002,0.52800006
1230,0.16800001,0.544,0.23200001,0.52
1240,0.152,0.52800006,0.192,0.536
1250,0.216,0.528,0.192,0.56000006
1260,0.176,0.512,0.23200001,0.536
1270,0.22400002,0.544,0.23200001,0.504
1280,0.192,0.568,0.20799999,0.584
1290,0.22400002,0.584,0.184,0.56
1300,0.144,0.544,0.208,0.536
1310,0.14400001,0.544,0.103999995,0.512
1320,0.2,0.584,0.208,0.57600003
1330,0.18400002,0.536,0.208,0.55200005
1340,0.208,0.56,0.2,0.57600003
1350,0.176,0.568,0.24,0.512
1360,0.208,0.544,0.216,0.52
1370,0.18400002,0.51199996,0.176,0.52
1380,0.24,0.568,0.2,0.584
1390,0.128,0.55200005,0.23200001,0.536
1400,0.23200001,0.544,0.18400002,0.552
1410,0.2,0.544,0.208,0.512
1420,0.20799999,0.576,0.192,0.48
1430,0.18400002,0.544,0.20799999,0.56
1440,0.22399999,0.576,0.18400002,0.57600003
1450,0.28800002,0.52,0.23200001,0.52800006
1460,0.216,0.52,0.20799999,0.6
1470,0.192,0.504,0.2,0.52
1480,0.14400001,0.544,0.24,0.536
1490,0.23200001,0.512,0.15200001,0.52800006
1500,0.26400003,0.60800004,0.23200001,0.536
1510,0.24,0.568,0.14400001,0.52800006
1520,0.2,0.528,0.216,0.552
1530,0.18400002,0.47200003,0.176,0.536
1540,0.176,0.51199996,0.176,0.528
1550,0.20799999,0.544,0.168,0.504
1560,0.16,0.584,0.23200001,0.57600003
1570,0.23200001,0.52,0.2,0.60800004
1580,0.2,0.52800006,0.18400002,0.576
1590,0.16,0.584,0.2,0.504
1600,0.24,0.568,0.16800001,0.544
1610,0.2,0.56,0.216,0.6
1620,0.2,0.6,0.24,0.544
1630,0.176,0.52800006,0.24,0.56
1640,0.136,0.608,0.23200001,0.568
1650,0.16800001,0.568,0.192,0.552
1660,0.22399999,0.584,0.208,0.616
1670,0.16,0.616,0.208,0.616
1680,0.192,0.544,0.216,0.6
1690,0.16,0.568,0.136,0.568
1700,0.184,0.576,0.21600002,0.552
1710,0.22400002,0.552,0.216,0.616
1720,0.2,0.584,0.176,0.616
1730,0.208,0.576,0.24,0.576
1740,0.20799999,0.544,0.23200001,0.55200005
1750,0.208,0.584,0.2,0.56
1760,0.24,0.60800004,0.18400002,0.568
1770,0.23200001,0.60800004,0.25599998,0.59200007
1780,0.20799999,0.46400002,0.22400002,0.568
1790,0.2,0.6,0.16,0.624
1800,0.16,0.648,0.24,0.592
1810,0.176,0.56,0.176,0.616
1820,0.24,0.616,0.168,0.66400003
1830,0.2,0.576,0.136,0.59200007
1840,0.14400001,0.55200005,0.20799999,0.60800004
1850,0.216,0.648,0.20799999,0.616
1860,0.176,0.60800004,0.192,0.552
1870,0.176,0.584,0.248,0.584
1880,0.192,0.592,0.25599998,0.584
1890,0.208,0.60800004,0.14400001,0.568
1900,0.18400002,0.584,0.176,0.568
1910,0.216,0.61600006,0.192,0.6
1920,0.128,0.60800004,0.208,0.512
1930,0.15200001,0.576,0.22400002,0.632
1940,0.2,0.56,0.12,0.616
1950,0.16,0.57600003,0.22400002,0.568
1960,0.23200001,0.584,0.20799999,0.576
1970,0.2,0.6,0.192,0.632
1980,0.192,0.56000006,0.176,0.576
1990,0.20799999,0.59200007,0.192,0.552
2000,0.216,0.592,0.192,0.552
2010,0.16,0.624,0.17600003,0.624
2020,0.176,0.64,0.22399999,0.56
2030,0.2,0.60800004,0.176,0.61600006
2040,0.176,0.6,0.192,0.56000006
2050,0.17600003,0.568,0.24800003,0.60800004
2060,0.208,0.56000006,0.176,0.536
2070,0.272,0.56,0.22399999,0.616
2080,0.24,0.59200007,0.18400002,0.568
2090,0.20799999,0.632,0.168,0.57600003
2100,0.24,0.592,0.2,0.568
2110,0.16,0.60800004,0.216,0.65599996
2120,0.216,0.584,0.208,0.6
2130,0.176,0.552,0.17600003,0.61600006
2140,0.2,0.536,0.16,0.55200005
2150,0.26400003,0.584,0.24,0.552
2160,0.176,0.568,0.20799999,0.624
2170,0.17600003,0.60800004,0.16800001,0.568
2180,0.176,0.6,0.272,0.536
2190,0.2,0.6,0.2,0.608
2200,0.23200001,0.60800004,0.168,0.632
2210,0.24,0.6,0.152,0.552
2220,0.22399999,0.57600003,0.176,0.57600003
2230,0.18400002,0.592,0.192,0.6
2240,0.18400002,0.624,0.176,0.584
2250,0.24,0.624,0.168,0.544
2260,0.2,0.56,0.216,0.55200005
2270,0.18400002,0.544,0.22399999,0.60800004
2280,0.176,0.648,0.20799999,0.6
2290,0.192,0.624,0.18400002,0.6
2300,0.192,0.616,0.192,0.616
2310,0.22399999,0.592,0.23200001,0.59200007
2320,0.21600002,0.57600003,0.216,0.64
2330,0.216,0.63199997,0.20000002,0.6
2340,0.29600003,0.648,0.208,0.6
2350,0.144,0.576,0.208,0.64
2360,0.16,0.592,0.16800001,0.59200007
2370,0.168,0.584,0.22400002,0.568
2380,0.16800001,0.56,0.216,0.59200007
2390,0.24,0.65599996,0.168,0.60800004
2400,0.16,0.65599996,0.20799999,0.616
2410,0.216,0.632,0.184,0.64
2420,0.16,0.64,0.16,0.56
2430,0.17600003,0.51199996,0.16800001,0.616
2440,0.176,0.56000006,0.216,0.624
2450,0.136,0.616,0.208,0.576
2460,0.20799999,0.584,0.256,0.55200005
2470,0.256,0.544,0.2,0.544
2480,0.136,0.61600006,0.30400002,0.55200005
2490,0.16,0.616,0.17599998,0.60800004
2500,0.208,0.576,0.16800001,0.496
2510,0.168,0.64,0.2,0.552
2520,0.20799999,0.60800004,0.208,0.6
2530,0.192,0.568,0.20799999,0.632
2540,0.192,0.59200007,0.22400002,0.6560001
2550,0.184,0.568,0.23200001,0.576
2560,0.20799999,0.576,0.168,0.6
2570,0.192,0.59200007,0.20799999,0.64
2580,0.208,0.60800004,0.192,0.632
2590,0.264,0.544,0.20799999,0.592
2600,0.2,0.57600003,0.176,0.568
2610,0.22400002,0.61600006,0.24,0.59200007
2620,0.22399999,0.59200007,0.216,0.624
2630,0.16,0.624,0.24800001,0.584
2640,0.2,0.632,0.192,0.59200007
2650,0.18400002,0.66400003,0.208,0.616
2660,0.192,0.624,0.216,0.584
2670,0.22400002,0.64,0.21599999,0.688
