iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
1470,0.23200001,0.536,0.16,0.44
1480,0.23200001,0.504,0.23200001,0.496
1490,0.16,0.52800006,0.18400002,0.49600002
1500,0.192,0.48,0.23200001,0.496
1510,0.256,0.568,0.23200001,0.52
1520,0.176,0.52,0.2,0.528
1530,0.16,0.496,0.184,0.536
1540,0.20799999,0.52,0.24,0.46400002
1550,0.216,0.51199996,0.2,0.512
1560,0.192,0.576,0.22400002,0.52799994
1570,0.22400002,0.568,0.21600002,0.55200005
1580,0.2,0.496,0.24,0.44800004
1590,0.192,0.496,0.2,0.504
1600,0.24,0.49600002,0.216,0.576
1610,0.248,0.504,0.18400002,0.544
1620,0.22399999,0.544,0.23200001,0.48000005
1630,0.22399999,0.52800006,0.2,0.48800004
1640,0.248,0.576,0.216,0.552
1650,0.216,0.536,0.2,0.576
1660,0.192,0.552,0.192,0.55200005
1670,0.192,0.512,0.16,0.576
1680,0.15200001,0.568,0.22400002,0.52
1690,0.2,0.52800006,0.23200001,0.52800006
1700,0.304,0.544,0.192,0.52799994
1710,0.18400002,0.52,0.192,0.60800004
1720,0.128,0.584,0.23200001,0.488
1730,0.23200001,0.48,0.16,0.44799998
1740,0.216,0.512,0.184,0.504
1750,0.2,0.56,0.2,0.48800004
1760,0.2,0.536,0.248,0.544
1770,0.216,0.472,0.2,0.528
1780,0.2,0.528,0.22399999,0.54399997
1790,0.256,0.496,0.16,0.59200007
1800,0.12,0.52800006,0.192,0.536
1810,0.25599998,0.56,0.23200001,0.512
1820,0.24800001,0.616,0.232,0.576
1830,0.176,0.52000004,0.2,0.52
1840,0.208,0.528,0.24,0.568
1850,0.136,0.504,0.24,0.544
1860,0.2,0.544,0.208,0.52000004
1870,0.20799999,0.544,0.23200001,0.56
1880,0.24,0.624,0.22400002,0.52
1890,0.22400002,0.512,0.18400002,0.48800004
1900,0.16,0.512,0.20799999,0.536
1910,0.256,0.584,0.16800001,0.528
1920,0.184,0.59200007,0.18400002,0.488
1930,0.216,0.48,0.2,0.51199996
1940,0.192,0.52800006,0.16800001,0.616
1950,0.192,0.512,0.28,0.536
1960,0.264,0.55200005,0.152,0.568
1970,0.24,0.56,0.2,0.59199995
1980,0.128,0.576,0.176,0.57600003
1990,0.22400002,0.544,0.18400002,0.536
2000,0.20000002,0.55200005,0.23200001,0.552
2010,0.152,0.648,0.216,0.58400005
2020,0.176,0.512,0.2,0.496
2030,0.18400002,0.544,0.208,0.52800006
2040,0.24800003,0.552,0.216,0.52
2050,0.24800001,0.504,0.2,0.568
2060,0.23200001,0.56,0.192,0.568
2070,0.2,0.584,0.192,0.584
2080,0.2,0.5360001,0.216,0.504
2090,0.216,0.592,0.16,0.544
2100,0.216,0.552,0.23200001,0.568
2110,0.2,0.584,0.24800001,0.568
2120,0.20799999,0.47199997,0.168,0.56000006
2130,0.2,0.6,0.184,0.512
2140,0.192,0.544,0.168,0.48
2150,0.2,0.6,0.23200001,0.568
2160,0.176,0.52,0.22400002,0.544
2170,0.23200001,0.536,0.18400002,0.504
2180,0.24,0.48800004,0.22399999,0.52
2190,0.192,0.552,0.136,0.52800006
2200,0.2,0.52800006,0.192,0.59199995
2210,0.16800001,0.624,0.15200001,0.52800006
2220,0.208,0.544,0.24,0.552
2230,0.256,0.52,0.22400002,0.56
2240,0.2,0.544,0.168,0.536
2250,0.2,0.59200007,0.16,0.536
2260,0.208,0.568,0.18400002,0.504
2270,0.23200001,0.42400002,0.23200001,0.568
2280,0.2,0.6560001,0.208,0.544
2290,0.16800001,0.584,0.22400002,0.52800006
2300,0.216,0.576,0.16,0.536
2310,0.152,0.56,0.184,0.6
2320,0.26399997,0.56000006,0.16,0.55200005
2330,0.23200001,0.688,0.16800001,0.568
2340,0.23200001,0.57600003,0.21599999,0.576
2350,0.176,0.52,0.21600002,0.504
2360,0.18400002,0.56,0.192,0.52
2370,0.23200001,0.57600003,0.176,0.576
2380,0.22400002,0.584,0.24,0.60800004
2390,0.2,0.648,0.18400002,0.55200005
2400,0.176,0.624,0.16,0.576
2410,0.23200001,0.6560001,0.22400002,0.60800004
2420,0.208,0.568,0.15200001,0.52800006
2430,0.216,0.48,0.168,0.584
2440,0.184,0.52,0.184,0.56
2450,0.22400002,0.6,0.128,0.52799994
2460,0.2,0.52800006,0.2,0.544
2470,0.144,0.512,0.18400002,0.544
