iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
1510,0.18400002,0.432,0.176,0.33600003
1520,0.22400002,0.384,0.16800001,0.41599998
1530,0.22399999,0.41599998,0.216,0.376
1540,0.168,0.408,0.20799999,0.344
1550,0.18400002,0.39200002,0.24,0.36800003
1560,0.16,0.39200002,0.20799999,0.384
1570,0.2,0.4,0.16,0.4
1580,0.208,0.416,0.216,0.39200002
1590,0.216,0.35200006,0.24,0.384
1600,0.22400002,0.352,0.23200001,0.384
1610,0.208,0.36800003,0.152,0.40800002
1620,0.264,0.384,0.16,0.376
1630,0.17599998,0.432,0.208,0.44
1640,0.256,0.416,0.216,0.41599998
1650,0.176,0.39200002,0.18400002,0.4
1660,0.216,0.352,0.136,0.39200002
1670,0.272,0.39200002,0.20799999,0.368
1680,0.136,0.336,0.208,0.432
1690,0.144,0.45599997,0.136,0.39200002
1700,0.16,0.41599998,0.176,0.46400002
1710,0.16800001,0.384,0.216,0.4
1720,0.184,0.39199996,0.192,0.36
1730,0.192,0.36800003,0.26400003,0.39200002
1740,0.23200001,0.368,0.176,0.4
1750,0.2,0.32800004,0.22400002,0.4
1760,0.23200001,0.41599998,0.16,0.4
1770,0.216,0.344,0.256,0.44
1780,0.168,0.39200002,0.176,0.36800003
1790,0.15200001,0.44,0.208,0.44
1800,0.264,0.46400002,0.176,0.44799998
1810,0.216,0.44,0.152,0.432
1820,0.24800001,0.42400002,0.136,0.45599997
1830,0.2,0.376,0.20799999,0.36800003
1840,0.216,0.44,0.192,0.37600002
1850,0.20799999,0.384,0.176,0.45599997
1860,0.192,0.39200002,0.28000003,0.384
1870,0.18400002,0.44800004,0.144,0.4
1880,0.15200001,0.4,0.21600002,0.4
1890,0.176,0.41599998,0.272,0.42400002
1900,0.20799999,0.48,0.168,0.432
1910,0.24,0.432,0.16800001,0.43200004
1920,0.192,0.384,0.16,0.40800002
1930,0.216,0.41599998,0.256,0.45599997
1940,0.192,0.36,0.176,0.408
1950,0.22400002,0.408,0.192,0.4
1960,0.192,0.47199997,0.20799999,0.384
1970,0.216,0.37600002,0.2,0.43199998
1980,0.16,0.37600002,0.20799999,0.44
1990,0.16800001,0.45599997,0.2,0.384
2000,0.184,0.44,0.136,0.42400002
2010,0.216,0.48800004,0.208,0.45599997
2020,0.20799999,0.44800004,0.2,0.384
2030,0.168,0.432,0.21599999,0.39200002
2040,0.208,0.47199997,0.17600003,0.408
2050,0.168,0.384,0.20799999,0.4
2060,0.22400002,0.44800004,0.2,0.44800004
2070,0.16800001,0.408,0.184,0.48
2080,0.192,0.432,0.192,0.432
2090,0.22399999,0.42400002,0.2,0.44
2100,0.24,0.504,0.22400002,0.45599997
2110,0.23200001,0.472,0.216,0.44
2120,0.23200001,0.416,0.20799999,0.44800004
2130,0.216,0.45599997,0.22400002,0.50399995
2140,0.144,0.368,0.20799999,0.416
2150,0.208,0.39200002,0.23200001,0.39200005
2160,0.23200001,0.42400002,0.23200001,0.45600003
2170,0.22399999,0.42400002,0.22400002,0.46400002
2180,0.216,0.44,0.184,0.44
2190,0.22400002,0.45600003,0.256,0.44
2200,0.2,0.512,0.256,0.496
2210,0.21600002,0.47199997,0.136,0.39200005
2220,0.208,0.43200004,0.192,0.44
2230,0.208,0.47199997,0.16800001,0.46400002
2240,0.23200001,0.45600003,0.192,0.504
2250,0.16800001,0.44,0.16800001,0.40800002
2260,0.176,0.504,0.2,0.432
2270,0.22399999,0.42400002,0.20799999,0.40800002
