iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.2,0.17600001,0.216,0.2
20,0.2,0.216,0.2,0.192
30,0.2,0.20799999,0.192,0.2
40,0.192,0.2,0.216,0.2
50,0.192,0.216,0.2,0.2
60,0.2,0.208,0.192,0.2
70,0.256,0.192,0.24,0.2
80,0.18400002,0.216,0.208,0.192
90,0.192,0.22400002,0.208,0.28
100,0.192,0.24,0.184,0.216
110,0.208,0.256,0.18400002,0.25599998
120,0.22400002,0.312,0.192,0.24800003
130,0.168,0.24,0.18400002,0.30400002
140,0.2,0.248,0.208,0.248
150,0.22399999,0.32800004,0.216,0.29600003
160,0.2,0.29600003,0.264,0.32800004
170,0.17600003,0.28800002,0.23200001,0.36
180,0.144,0.28800002,0.176,0.312
190,0.208,0.272,0.176,0.32
200,0.136,0.32,0.192,0.312
210,0.176,0.312,0.19199999,0.32
220,0.192,0.32,0.15200001,0.352
230,0.20799999,0.312,0.128,0.35200006
240,0.26400003,0.344,0.168,0.296
250,0.22400002,0.28800002,0.192,0.28
260,0.23200001,0.35200006,0.14400001,0.32000005
270,0.18400002,0.42400002,0.192,0.28800002
280,0.22400002,0.32,0.216,0.36
290,0.16,0.376,0.16,0.40800002
300,0.22399999,0.32800004,0.192,0.33600003
310,0.168,0.344,0.216,0.32
320,0.14400001,0.352,0.184,0.32800004
330,0.248,0.384,0.23200001,0.36800003
340,0.16,0.36,0.192,0.37600002
350,0.22400002,0.376,0.216,0.376
360,0.176,0.336,0.22400002,0.36
370,0.216,0.36,0.26400003,0.4
380,0.18400002,0.368,0.272,0.368
390,0.11200001,0.40000004,0.22399999,0.4
400,0.192,0.384,0.2,0.384
410,0.13599999,0.39200002,0.152,0.416
420,0.136,0.30400002,0.256,0.344
430,0.216,0.37600002,0.24,0.32800004
440,0.208,0.376,0.176,0.39200005
450,0.192,0.32799998,0.16,0.384
460,0.168,0.344,0.18400002,0.41599998
470,0.22399999,0.4,0.232,0.4
480,0.176,0.4,0.168,0.40800002
490,0.15200001,0.352,0.20799999,0.376
500,0.248,0.4,0.176,0.384
510,0.192,0.36800003,0.18400002,0.4
520,0.20799999,0.384,0.15200001,0.39200002
530,0.208,0.39200002,0.192,0.344
540,0.20799999,0.384,0.192,0.41599998
550,0.23200001,0.37600002,0.11200001,0.39200002
560,0.24,0.39200002,0.23200001,0.49600002
570,0.2,0.39200002,0.192,0.40800002
580,0.20799999,0.32800004,0.18400002,0.384
590,0.176,0.42400002,0.18400002,0.41599998
600,0.208,0.41599998,0.24800001,0.36800003
610,0.168,0.4,0.22400002,0.44
620,0.24,0.432,0.2,0.4
630,0.15200001,0.44,0.16,0.45599997
640,0.192,0.416,0.168,0.368
650,0.20799999,0.42400002,0.256,0.4
660,0.176,0.40800002,0.16,0.45599997
670,0.28,0.432,0.192,0.40800002
680,0.2,0.4,0.248,0.4
690,0.208,0.44800004,0.216,0.42400002
700,0.2,0.42400002,0.12,0.36800003
710,0.176,0.40800002,0.184,0.384
