iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.2,0.2,0.2,0.192
20,0.20799999,0.2,0.192,0.208
30,0.22400002,0.216,0.20799999,0.216
40,0.20799999,0.2,0.192,0.208
50,0.18400002,0.24,0.2,0.248
60,0.2,0.216,0.18400002,0.248
70,0.2,0.28,0.22399999,0.26400003
80,0.18400002,0.288,0.20799999,0.30400002
90,0.2,0.28,0.16,0.272
100,0.17600003,0.32,0.24,0.288
110,0.24,0.29599997,0.192,0.296
120,0.216,0.344,0.2,0.336
130,0.16,0.32800004,0.248,0.32800004
140,0.22400002,0.32,0.20799999,0.32799998
150,0.16,0.28,0.168,0.40800002
160,0.144,0.32,0.16,0.344
170,0.272,0.352,0.176,0.36
180,0.2,0.30400002,0.16,0.32799998
190,0.26400003,0.368,0.192,0.32
200,0.20799999,0.376,0.23200001,0.432
210,0.22400002,0.39200002,0.18400002,0.376
220,0.22400002,0.39200002,0.20799999,0.376
230,0.176,0.36800003,0.22400002,0.336
240,0.192,0.352,0.152,0.32800004
250,0.23200001,0.4,0.128,0.41599998
260,0.16800001,0.352,0.20799999,0.4
270,0.16800001,0.36,0.22400002,0.39200002
280,0.23200001,0.40800002,0.184,0.416
290,0.2,0.4,0.2,0.408
300,0.22399999,0.36,0.192,0.36800003
310,0.23200001,0.41599998,0.22400002,0.432
320,0.16800001,0.384,0.216,0.39200002
330,0.16800001,0.39200002,0.2,0.41599998
340,0.22400002,0.4,0.22399999,0.352
350,0.24800001,0.48,0.2,0.49600002
360,0.176,0.44800004,0.2,0.39200002
370,0.22400002,0.43200004,0.176,0.42400002
380,0.20799999,0.4,0.22400002,0.37600002
390,0.28800002,0.4,0.20799999,0.42400002
400,0.192,0.32799998,0.12,0.488
410,0.26400003,0.46400002,0.23200001,0.42400002
420,0.2,0.42400002,0.184,0.432
430,0.128,0.44799998,0.208,0.42400002
440,0.20799999,0.39200002,0.23200001,0.4
450,0.24800001,0.4,0.21600002,0.42400002
460,0.15200001,0.42400002,0.2,0.43200004
470,0.248,0.432,0.20799999,0.472
480,0.24,0.384,0.264,0.432
490,0.26400003,0.44799998,0.23200001,0.384
500,0.17600003,0.36800003,0.176,0.45599997
510,0.216,0.4,0.23200001,0.47199997
520,0.18400002,0.44799998,0.216,0.39200005
530,0.216,0.496,0.208,0.42400002
540,0.17600003,0.488,0.216,0.44
550,0.18400002,0.48,0.168,0.432
560,0.2,0.47199997,0.16,0.432
570,0.296,0.43199998,0.216,0.48800004
580,0.23200001,0.432,0.15200001,0.44799998
590,0.176,0.44,0.26400003,0.44
600,0.18400002,0.42400002,0.176,0.44
610,0.216,0.472,0.22399999,0.432
620,0.168,0.472,0.208,0.44
630,0.232,0.50399995,0.176,0.504
640,0.23200001,0.496,0.18400002,0.44800004
650,0.23200001,0.44799998,0.22399999,0.47199997
660,0.248,0.488,0.18400002,0.42400002
670,0.20799999,0.44,0.15200001,0.41599998
680,0.192,0.49600002,0.23200001,0.408
690,0.16,0.47199997,0.24,0.47199997
700,0.208,0.52800006,0.20799999,0.45600003
710,0.168,0.48800004,0.22400002,0.46400002
720,0.14400001,0.48,0.2,0.496
730,0.18400002,0.42400002,0.216,0.416
740,0.18400002,0.48,0.192,0.45599997
750,0.22399999,0.43200004,0.22400002,0.432
760,0.216,0.504,0.22400002,0.45599997
770,0.21600002,0.496,0.21599999,0.496
780,0.192,0.44799998,0.23200001,0.488
790,0.16,0.488,0.208,0.496
800,0.216,0.544,0.176,0.504
810,0.18400002,0.472,0.28,0.52800006
820,0.18400002,0.52800006,0.184,0.488
830,0.216,0.46400002,0.192,0.46400002
840,0.18400002,0.496,0.136,0.42400002
850,0.2,0.48,0.20799999,0.46400002
860,0.16800001,0.496,0.24,0.408
870,0.23200001,0.57600003,0.152,0.51199996
880,0.248,0.488,0.17599998,0.47199997
890,0.20000002,0.44799998,0.22400002,0.432
900,0.208,0.488,0.12,0.472
910,0.192,0.46400002,0.16800001,0.512
920,0.22399999,0.472,0.184,0.504
930,0.24,0.44800004,0.21600002,0.51199996
